project,instance,database,schema,table,column,sensitive_field,sensitive_type
tag-engine-develop,northwind-dev01,postgres,northwind,customers,customer_id,FALSE,
tag-engine-develop,northwind-dev01,postgres,northwind,customers,city,TRUE,PII
tag-engine-develop,northwind-dev01,postgres,northwind,customers,contact_name,TRUE,SPII
tag-engine-develop,northwind-dev01,postgres,northwind,customers,contact_title,FALSE,
tag-engine-develop,northwind-dev01,postgres,northwind,customers,postal_code,TRUE,PII
tag-engine-develop,northwind-dev01,postgres,northwind,customers,country,TRUE,PII
tag-engine-develop,northwind-dev01,postgres,northwind,customers,address,TRUE,PII
tag-engine-develop,northwind-dev01,postgres,northwind,customers,company_name,TRUE,SPII
tag-engine-develop,northwind-dev01,postgres,northwind,customer_demographics,customer_desc,TRUE,SPII
tag-engine-develop,northwind-dev01,postgres,northwind,customer_customer_demo,customer_id,FALSE,
